hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457852.67188,bh,V,9.559,0.02,576.091,10.6
2457350.82145,bh,V,9.676,0.02,517.189,9.516
2457333.86405,bh,V,9.716,0.02,498.183,9.167
2457801.68101,bh,V,9.791,0.02,464.933,8.555
2457728.75114,bh,V,9.726,0.02,493.608,9.082
2457093.71427,bf,V,9.703,0.02,525.337,9.666
2456810.50424,bf,V,9.692,0.02,530.264,9.757
2457894.63845,bh,V,9.75,0.02,483.081,8.889
2457052.73083,bf,V,9.755,0.02,500.689,9.213
2456814.50929,bf,V,9.667,0.02,543.054,9.992
2458305.49909,bh,V,9.675,0.02,517.316,9.519
2457933.49269,bh,V,9.729,0.02,492.547,9.063
2457780.72265,bh,V,9.894,0.02,422.941,7.782
2457420.82421,bh,V,9.713,0.02,499.732,9.195
2457363.78909,bh,V,9.672,0.02,518.889,9.548
2457080.68062,bf,V,9.756,0.02,500.243,9.204
2457043.70899,bf,V,9.711,0.02,521.203,9.59
2457946.4731,bh,V,9.605,0.02,551.862,10.154
2457910.5503,bh,V,9.839,0.02,445.095,8.19
2458055.85577,bh,V,9.584,0.02,562.55,10.351
2457799.69845,bh,V,9.819,0.02,453.038,8.336
2457312.8722,bh,V,9.74,0.02,487.248,8.965
2458180.77155,bh,V,9.956,0.02,399.354,7.348
2457782.70031,bh,V,9.71,0.02,501.233,9.223
2457768.82065,bh,V,9.746,0.02,484.566,8.916
2457475.64447,bh,V,9.704,0.02,503.785,9.27
2457468.50768,bh,V,9.609,0.02,550.182,10.123
2457130.67401,bf,V,9.713,0.02,520.215,9.572
2458214.58637,bh,V,9.707,0.02,502.7,9.25
2458117.82173,bh,V,9.696,0.02,507.727,9.342
2457887.56201,bh,V,9.694,0.02,508.729,9.361
2457484.71954,bh,V,9.744,0.02,485.779,8.938
2457425.67188,bh,V,9.69,0.02,510.479,9.393
2457205.51259,bf,V,9.756,0.02,500.052,9.201
2456961.85548,bf,V,9.729,0.02,512.901,9.437
2458044.86889,bh,V,9.757,0.02,479.993,8.832
2457760.81304,bh,V,9.718,0.02,497.302,9.15
2457188.5448,bf,V,9.828,0.02,468.21,8.615
2457170.61287,bf,V,9.782,0.02,488.535,8.989
