,cryo_temp,time
593,286.32,2024-11-13 20:25:34.465030
594,286.38,2024-11-13 20:25:50.090134
595,286.45,2024-11-13 20:26:05.703082
596,286.53,2024-11-13 20:26:21.263662
597,286.6,2024-11-13 20:26:36.891069
598,286.67,2024-11-13 20:26:52.537962
599,286.74,2024-11-13 20:27:08.117975
600,286.82,2024-11-13 20:27:23.764620
601,286.9,2024-11-13 20:27:39.435046
602,286.99,2024-11-13 20:27:55.063587
603,287.07,2024-11-13 20:28:10.609964
604,287.15,2024-11-13 20:28:26.210277
605,287.23,2024-11-13 20:28:41.889610
606,287.32,2024-11-13 20:28:57.489491
607,287.4,2024-11-13 20:29:13.106489
608,287.48,2024-11-13 20:29:28.757636
609,287.56,2024-11-13 20:29:44.392279
610,287.64,2024-11-13 20:29:59.965147
611,287.71,2024-11-13 20:30:15.627411
612,287.78,2024-11-13 20:30:31.271897
613,287.85,2024-11-13 20:30:46.906488
614,287.92,2024-11-13 20:31:02.808502
615,287.98,2024-11-13 20:31:18.419486
616,288.04,2024-11-13 20:31:34.084572
617,288.1,2024-11-13 20:31:49.775495
618,288.15,2024-11-13 20:32:05.497490
619,288.2,2024-11-13 20:32:21.109543
620,288.25,2024-11-13 20:32:36.707359
621,288.29,2024-11-13 20:32:52.595545
622,288.34,2024-11-13 20:33:08.435215
623,288.38,2024-11-13 20:33:24.430625
624,288.41,2024-11-13 20:33:40.940966
625,288.45,2024-11-13 20:33:56.868102
626,288.48,2024-11-13 20:34:12.704299
